Текст,Слова,Уник. слова,Упомин. цветов,Уник. цветов,Плотность,Топ-цвет(а)
tests/crime_and_punishment.txt,43495,6435,218,50,0.005,алый
tests/war_and_peace.txt,291150,16505,1419,95,0.0049,бурый
